ID,customer_id,customer_name,region,industry,invoice_amount,payment_terms,days_overdue_avg,num_late_payments,credit_limit,outstanding_balance,payment_risk
1,C1001,Accenture GmbH,EMEA,Consulting,85000.00,NET30,2,1,200000.00,85000.00,LOW
2,C1002,TechWave Inc,Americas,Technology,220000.00,NET60,45,8,300000.00,220000.00,HIGH
3,C1003,GlobalMfg SA,EMEA,Manufacturing,150000.00,NET30,12,3,250000.00,150000.00,MEDIUM
4,C1004,RetailPlus Ltd,APJ,Retail,45000.00,NET30,0,0,100000.00,45000.00,LOW
5,C1005,FastBuild Corp,Americas,Construction,310000.00,NET90,62,11,400000.00,310000.00,HIGH
6,C1006,HealthCare AG,EMEA,Healthcare,95000.00,NET30,5,2,180000.00,95000.00,LOW
7,C1007,LogiTrans GmbH,EMEA,Logistics,175000.00,NET60,28,6,250000.00,175000.00,MEDIUM
8,C1008,AutoParts SA,Americas,Automotive,260000.00,NET30,55,9,350000.00,260000.00,HIGH
9,C1009,EnergyFirst Ltd,APJ,Energy,130000.00,NET60,8,2,220000.00,130000.00,LOW
10,C1010,ChemGroup Inc,Americas,Chemicals,195000.00,NET30,38,7,280000.00,195000.00,HIGH
11,C1011,FoodChain AG,EMEA,Food & Beverage,72000.00,NET30,3,1,150000.00,72000.00,LOW
12,C1012,MediaWorks Ltd,APJ,Media,118000.00,NET60,22,5,200000.00,118000.00,MEDIUM
13,C1013,SmartTech GmbH,EMEA,Technology,88000.00,NET30,1,0,180000.00,88000.00,LOW
14,C1014,BuildRight Corp,Americas,Construction,285000.00,NET90,70,13,400000.00,285000.00,HIGH
15,C1015,PharmaCo SA,EMEA,Pharmaceuticals,145000.00,NET30,9,2,250000.00,145000.00,LOW
16,C1016,RetailMega Inc,Americas,Retail,98000.00,NET60,18,4,180000.00,98000.00,MEDIUM
17,C1017,AgriGlobal Ltd,APJ,Agriculture,65000.00,NET30,4,1,120000.00,65000.00,LOW
18,C1018,SteelWorks Corp,Americas,Manufacturing,340000.00,NET30,48,10,450000.00,340000.00,HIGH
19,C1019,TeleNet AG,EMEA,Telecommunications,112000.00,NET60,14,3,200000.00,112000.00,MEDIUM
20,C1020,InsureTech Ltd,APJ,Insurance,78000.00,NET30,2,0,150000.00,78000.00,LOW
